wave,outcome,stratum,n,term,coef,se,t,p
2014,edu_yrs,all,2117,age_c,-1.9649,0.36725,-5.35,0.0
2014,edu_yrs,all,2117,age_c2,-1.20478,0.16094,-7.486,0.0
2014,edu_yrs,all,2117,urban,1.52149,0.13822,11.008,0.0
2014,edu_yrs,all,2117,parent_avg_age,0.01409,0.01716,0.821,0.41184
2014,edu_yrs,all,2117,parent_avg_edu,0.2054,0.02071,9.918,0.0
2014,edu_yrs,all,2117,parent_log_income,0.27208,0.07002,3.886,0.00011
2014,edu_yrs,all,2117,mother_id_x_female,0.01236,0.68557,0.018,0.98561
2014,edu_yrs,all,2117,father_id_x_female,-0.47459,0.72985,-0.65,0.5156
2014,edu_yrs,male,1224,const,4.74202,1.65826,2.86,0.00431
2014,edu_yrs,male,1224,mother_ideation,-0.30503,0.46964,-0.65,0.51613
2014,edu_yrs,male,1224,father_ideation,-0.1421,0.52103,-0.273,0.78511
2014,edu_yrs,male,1224,age_c,-1.59345,0.40598,-3.925,9e-05
2014,edu_yrs,male,1224,age_c2,-0.8247,0.18223,-4.526,1e-05
2014,edu_yrs,male,1224,urban,1.74284,0.18815,9.263,0.0
2014,edu_yrs,male,1224,parent_avg_age,0.02449,0.02184,1.121,0.2624
2014,edu_yrs,male,1224,parent_avg_edu,0.19972,0.0269,7.423,0.0
2014,edu_yrs,male,1224,parent_log_income,0.29817,0.0972,3.068,0.0022
2014,edu_yrs,female,893,const,7.55884,1.91298,3.951,8e-05
2014,edu_yrs,female,893,mother_ideation,-0.64057,0.50149,-1.277,0.20182
2014,edu_yrs,female,893,father_ideation,-0.80584,0.51068,-1.578,0.11493
2014,edu_yrs,female,893,age_c,-3.40363,0.66101,-5.149,0.0
2014,edu_yrs,female,893,age_c2,-2.10108,0.26856,-7.824,0.0
2014,edu_yrs,female,893,urban,1.25159,0.20277,6.172,0.0
2014,edu_yrs,female,893,parent_avg_age,0.00522,0.02715,0.192,0.84765
2014,edu_yrs,female,893,parent_avg_edu,0.21628,0.0324,6.676,0.0
2014,edu_yrs,female,893,parent_log_income,0.23743,0.09877,2.404,0.01643
2020,currently_married,all,2198,const,1.04325,0.16109,6.476,0.0
2020,currently_married,all,2198,mother_ideation,-0.07089,0.06092,-1.164,0.24468
2020,currently_married,all,2198,father_ideation,-0.00621,0.05477,-0.113,0.9097
2020,currently_married,all,2198,child_female,-0.1212,0.0627,-1.933,0.05337
2020,currently_married,all,2198,age_c,0.4092,0.03269,12.519,0.0
2020,currently_married,all,2198,age_c2,-0.0727,0.01522,-4.778,0.0
2020,currently_married,all,2198,urban,-0.01695,0.01771,-0.957,0.33863
2020,currently_married,all,2198,parent_avg_age,-0.00367,0.00187,-1.964,0.04966
2020,currently_married,all,2198,parent_avg_edu,-0.00704,0.0026,-2.711,0.00675
2020,currently_married,all,2198,parent_log_income,0.00637,0.0089,0.716,0.47389
